epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02795,2.11063,4.82458,1.34485,0.6,0.10619,0.35618,0.16622,2.11033,4.26873,1.28265,0.0678049,0.000325203,0.000325203
2,6.03698,1.90461,2.03982,1.17282,0.04055,0.65487,0.15822,0.05071,2.46749,3.11869,1.23779,0.0348002,0.000653812,0.000653812
3,8.88959,1.77844,1.73512,1.2123,0.40029,0.50799,0.35543,0.1188,2.206,1.98804,1.22245,0.00179065,0.000977639,0.000977639
4,11.6844,1.74257,1.62672,1.16297,0.53336,0.59292,0.51517,0.17345,2.24343,1.75255,1.22735,0.000978478,0.000978478,0.000978478
5,14.7067,1.6915,1.57157,1.1066,0.59731,0.56637,0.57557,0.20543,1.96246,1.71654,1.15975,0.000971304,0.000971304,0.000971304
6,17.6948,1.6442,1.53343,1.15516,0.49205,0.56637,0.50038,0.18659,1.91512,1.65372,1.14216,0.00096413,0.00096413,0.00096413
7,20.5036,1.60032,1.40175,1.11017,0.60408,0.55752,0.54739,0.2059,2.07522,1.60864,1.1627,0.000956957,0.000956957,0.000956957
8,23.3269,1.61514,1.44381,1.12295,0.52163,0.69027,0.50023,0.19168,1.92697,1.6593,1.19223,0.000949783,0.000949783,0.000949783
9,26.125,1.54936,1.39394,1.10405,0.72142,0.68142,0.71057,0.29953,1.72594,1.46106,1.10971,0.000942609,0.000942609,0.000942609
10,29.0979,1.51508,1.34484,1.0662,0.67839,0.65334,0.64795,0.2884,1.78745,1.3785,1.1531,0.000935435,0.000935435,0.000935435
11,31.9036,1.51024,1.333,1.07738,0.71561,0.60124,0.67889,0.24443,1.9564,1.39404,1.10803,0.000928261,0.000928261,0.000928261
12,34.7029,1.55681,1.29081,1.09712,0.70773,0.69027,0.72214,0.36339,1.67354,1.24366,1.08563,0.000921087,0.000921087,0.000921087
13,37.7173,1.51822,1.39282,1.10124,0.57955,0.66372,0.62191,0.25009,2.03898,1.33873,1.1247,0.000913913,0.000913913,0.000913913
14,40.5187,1.53111,1.26527,1.06382,0.66339,0.70796,0.72297,0.35847,1.61954,1.26115,1.07208,0.000906739,0.000906739,0.000906739
15,43.3259,1.46599,1.23406,1.04052,0.72288,0.76106,0.76703,0.38335,1.56899,1.30158,1.06529,0.000899565,0.000899565,0.000899565
16,46.2813,1.47063,1.23693,1.04581,0.75307,0.67257,0.76145,0.28352,1.81632,1.45274,1.07936,0.000892391,0.000892391,0.000892391
17,49.0666,1.48807,1.2113,1.06146,0.74505,0.78761,0.78636,0.3308,1.75616,1.39096,1.07368,0.000885217,0.000885217,0.000885217
18,51.8696,1.38774,1.23116,1.02662,0.77027,0.71213,0.81301,0.40495,1.61682,1.17495,1.0583,0.000878043,0.000878043,0.000878043
